label,final_performance,learning_speed,sample_efficiency,performance_index
SARSA α=0.1 ε=0.1,-21.870666666666665,33,-51.28666666666667,0.9339645395413103
SARSA ε=ExponentialDecay,-21.510666666666665,13,-1234.1851333333334,0.8480916416857885
SARSA ε=LinearDecay,-19.964,38,-2640.1399333333334,0.6804516622249817
Q-Learning α=0.1 ε=0.1,-50.178,71,-70.6688,0.3979303223645077
Q-Learning ε=LinearDecay,-32.727333333333334,45,-3797.2098,0.33361203491720737
Q-Learning ε=ExponentialDecay,-48.138,22,-1796.6390666666666,0.33186840175049154
