label,final_performance,learning_speed,sample_efficiency,performance_index
SARSA α=0.3,-23.023333333333333,19,-36.5634,0.9745948244260034
SARSA α=0.5,-26.126666666666665,12,-35.66493333333333,0.9334271551102519
SARSA α=0.1 ε=0.1,-22.240666666666666,65,-51.5402,0.8446409926347327
SARSA α=0.05,-27.041333333333334,116,-75.921,0.5462126639287708
Q-Learning α=0.5,-49.096,11,-55.9524,0.39268778014715433
Q-Learning α=0.3,-51.726,23,-58.748733333333334,0.31904254358940043
Q-Learning α=0.1 ε=0.1,-48.924,80,-71.2332,0.23456165312945826
Q-Learning α=0.05,-49.434666666666665,159,-89.0844,0.03885547616894276
