label,final_performance,learning_speed,sample_efficiency
SARSA α=0.05,-27.036666666666665,114,-75.7504
Q-Learning α=0.05,-45.676,133,-89.02466666666666
SARSA α=0.1,-21.990666666666666,82,-51.2494
Q-Learning α=0.1,-51.63133333333333,28,-69.7972
SARSA α=0.3,-23.228,19,-36.1234
Q-Learning α=0.3,-50.09,16,-59.60713333333333
SARSA α=0.5,-24.98,18,-36.7384
Q-Learning α=0.5,-51.17666666666667,2,-56.28726666666667
